processed 1 of 11 files
processed 11 of 11 files
         35593831 function calls (35376764 primitive calls) in 30.630 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.012    0.003 core.py:1(<module>)
        3    0.000    0.000    0.012    0.004 config.py:445(from_disk)
       11    0.012    0.001    0.012    0.001 {method 'splitlines' of 'str' objects}
       11    0.000    0.000    0.012    0.001 _decorators.py:302(wrapper)
      231    0.001    0.000    0.012    0.000 _decorators.py:368(decorator)
       11    0.000    0.000    0.012    0.001 frame.py:5584(reset_index)
        2    0.000    0.000    0.012    0.006 shape_base.py:1(<module>)
     1087    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
     9133    0.006    0.000    0.012    0.000 typing.py:703(__setattr__)
    42602    0.012    0.000    0.012    0.000 {method 'endswith' of 'str' objects}
       36    0.000    0.000    0.012    0.000 _msgpack_api.py:17(msgpack_loads)
       36    0.000    0.000    0.011    0.000 __init__.py:70(unpackb)
       66    0.000    0.000    0.011    0.000 common.py:54(new_method)
       11    0.000    0.000    0.011    0.001 frame.py:1510(from_dict)
        1    0.000    0.000    0.011    0.011 language.py:2036(<lambda>)
        1    0.000    0.000    0.011    0.011 {method 'from_disk' of 'spacy.pipeline.trainable_pipe.TrainablePipe' objects}
        1    0.000    0.000    0.011    0.011 trainable_pipe.pyx:320(from_disk)
       44    0.001    0.000    0.011    0.000 frame.py:573(__init__)
    33616    0.011    0.000    0.011    0.000 lex_attrs.py:54(is_bracket)
        1    0.000    0.000    0.011    0.011 trainable_pipe.pyx:331(load_model)
       11    0.000    0.000    0.011    0.001 common.py:521(get_handle)
       11    0.000    0.000    0.011    0.001 collocate_single_text.py:76(find_collocates)
     1373    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.011    0.011 model.py:583(from_bytes)
        9    0.000    0.000    0.011    0.001 six.py:85(_import_module)
        4    0.000    0.000    0.011    0.003 six.py:117(_resolve)
       26    0.000    0.000    0.011    0.000 pyparsing.py:3294(__init__)
        2    0.000    0.000    0.011    0.005 interval.py:1(<module>)
       66    0.001    0.000    0.011    0.000 series.py:5516(_arith_method)
      965    0.011    0.000    0.011    0.000 {method 'findall' of 're.Pattern' objects}
      427    0.001    0.000    0.011    0.000 typing.py:822(__getitem__)
      258    0.001    0.000    0.011    0.000 metadata.py:508(read_text)
    44959    0.011    0.000    0.011    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.011    0.002 _json_api.py:42(read_json)
