         8045514 function calls (7978869 primitive calls) in 9.627 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      120    0.000    0.000    0.010    0.000 parser.py:599(parse_block_mapping_first_key)
      778    0.001    0.000    0.010    0.000 re.py:203(sub)
        1    0.000    0.000    0.010    0.010 files.py:10(<module>)
        1    0.000    0.000    0.010    0.010 _pickle_api.py:1(<module>)
        1    0.000    0.000    0.010    0.010 context.py:1(<module>)
        2    0.000    0.000    0.010    0.005 categorical.py:1(<module>)
    24293    0.010    0.000    0.010    0.000 {method 'endswith' of 'str' objects}
    17835    0.009    0.000    0.009    0.000 {spacy.strings.get_string_id}
       13    0.000    0.000    0.009    0.001 enum.py:528(_convert_)
        1    0.000    0.000    0.009    0.009 linalg.py:1(<module>)
     2623    0.008    0.000    0.009    0.000 <frozen importlib._bootstrap>:87(acquire)
      270    0.001    0.000    0.009    0.000 pathlib.py:1069(__new__)
        1    0.000    0.000    0.009    0.009 lexer.py:1(<module>)
      255    0.001    0.000    0.009    0.000 metadata.py:417(joinpath)
    14921    0.006    0.000    0.009    0.000 lex_attrs.py:157(is_alpha)
       20    0.000    0.000    0.009    0.000 enum.py:475(_create_)
        1    0.000    0.000    0.009    0.009 _base.py:1(<module>)
     1086    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
     2784    0.008    0.000    0.009    0.000 tokenizer.pyx:208(_flush_cache)
        6    0.000    0.000    0.009    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.009    0.009 group.py:10(<module>)
