processed 1 of 11 files
processed 11 of 11 files
         35169196 function calls (34952123 primitive calls) in 36.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.012    0.003 six.py:117(_resolve)
      778    0.001    0.000    0.012    0.000 re.py:203(sub)
        1    0.000    0.000    0.012    0.012 __init__.py:19(<module>)
        1    0.000    0.000    0.012    0.012 _pickle.py:1(<module>)
        6    0.000    0.000    0.012    0.002 _json_api.py:42(read_json)
        3    0.000    0.000    0.012    0.004 concat.py:1(<module>)
      256    0.000    0.000    0.011    0.000 pathlib.py:1252(read_text)
       11    0.000    0.000    0.011    0.001 managers.py:461(to_native_types)
        1    0.000    0.000    0.011    0.011 universaldetector.py:28(<module>)
    11596    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        6    0.010    0.002    0.011    0.002 {built-in method srsly.ujson.ujson.load}
       13    0.006    0.000    0.011    0.001 config.py:1013(make_promise_schema)
        1    0.000    0.000    0.011    0.011 _add_newdocs_scalars.py:1(<module>)
        9    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap>:415(spec_from_loader)
       26    0.000    0.000    0.011    0.000 six.py:190(find_spec)
        1    0.000    0.000    0.011    0.011 aggregation.py:1(<module>)
        4    0.000    0.000    0.011    0.003 six.py:215(is_package)
        1    0.000    0.000    0.011    0.011 six.py:120(__getattr__)
       44    0.000    0.000    0.011    0.000 blocks.py:639(to_native_types)
     8535    0.005    0.000    0.011    0.000 scanner.py:198(need_more_tokens)
       11    0.001    0.000    0.011    0.001 construction.py:256(ndarray_to_mgr)
    72305    0.011    0.000    0.011    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.011    0.011 _internal_utils.py:3(<module>)
        2    0.000    0.000    0.011    0.005 compat.py:3(<module>)
      132    0.001    0.000    0.010    0.000 series.py:315(__init__)
    33626    0.010    0.000    0.010    0.000 lex_attrs.py:153(suffix)
      617    0.001    0.000    0.010    0.000 typing.py:831(copy_with)
        2    0.000    0.000    0.010    0.005 config.py:720(resolve)
       11    0.000    0.000    0.010    0.001 frame.py:4356(insert)
    33626    0.010    0.000    0.010    0.000 lex_attrs.py:66(is_left_punct)
       22    0.000    0.000    0.010    0.000 frame.py:3769(_set_item)
      313    0.000    0.000    0.010    0.000 sre_parse.py:96(closegroup)
    33626    0.010    0.000    0.010    0.000 vocab.pyx:207(_add_lex_to_vocab)
      761    0.005    0.000    0.010    0.000 doc.pyx:177(__init__)
        1    0.000    0.000    0.010    0.010 platform.py:3(<module>)
      269    0.000    0.000    0.010    0.000 pathlib.py:1236(open)
       33    0.000    0.000    0.010    0.000 base.py:5262(get_indexer_for)
    44/33    0.001    0.000    0.010    0.000 base.py:5957(insert)
      750    0.001    0.000    0.010    0.000 vocab.pyx:242(__getitem__)
        1    0.000    0.000    0.009    0.009 config.py:193(interpolate)
     2617    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
       22    0.000    0.000    0.009    0.000 frame.py:3744(_set_item_mgr)
        1    0.000    0.000    0.009    0.009 model.py:604(from_dict)
     1408    0.001    0.000    0.009    0.000 typing.py:667(__init__)
       22    0.000    0.000    0.009    0.000 language.py:474(add_factory)
       44    0.000    0.000    0.009    0.000 blocks.py:2037(to_native_types)
